id	case	support	answer	question	distractor1	distractor2	distractor3		Does the question make sense wrt the given context?	Does the answer belong to the question?	Are the distractors plausible?
27	ground_truth	After menstruation, the endometrium begins to build up again. At the same time, a follicle starts maturing in an ovary. Ovulation occurs around day 14 of the cycle. After it occurs, the endometrium continues to build up in preparation for a fertilized egg. What happens next depends on whether the egg is fertilized.	14th	On what day of the cycle does ovulation usually occur?	17th	7th	1st				
27	answer_given	After menstruation, the endometrium begins to build up again. At the same time, a follicle starts maturing in an ovary. Ovulation occurs around day 14 of the cycle. After it occurs, the endometrium continues to build up in preparation for a fertilized egg. What happens next depends on whether the egg is fertilized.	14th	When does ovulation occur?	12th	15th	13th		2	3	3
27	no_answer	After menstruation, the endometrium begins to build up again. At the same time, a follicle starts maturing in an ovary. Ovulation occurs around day 14 of the cycle. After it occurs, the endometrium continues to build up in preparation for a fertilized egg. What happens next depends on whether the egg is fertilized.	month	What is the average length of a menstrual cycle?	week	day	year		2	3	3
28	ground_truth	Water pollution comes from many sources. One of the biggest sources is runoff. Runoff picks up chemicals such as fertilizer from agricultural fields, lawns, and golf courses. It carries the chemicals to bodies of water. The added nutrients from fertilizer often cause excessive growth of algae, creating algal blooms (see Figure below ). The algae use up oxygen in the water so that other aquatic organisms cannot survive. This has occurred over large areas of the ocean, creating dead zones , where low oxygen levels have killed all ocean life. A very large dead zone exists in the Gulf of Mexico. Measures that can help prevent these problems include cutting down on fertilizer use. Preserving wetlands also helps because wetlands filter runoff water.	algae	The added nutrients from fertilizer often cause excessive growth of what organism?	mushrooms	sediments	crustaceans				
28	answer_given	Water pollution comes from many sources. One of the biggest sources is runoff. Runoff picks up chemicals such as fertilizer from agricultural fields, lawns, and golf courses. It carries the chemicals to bodies of water. The added nutrients from fertilizer often cause excessive growth of algae, creating algal blooms (see Figure below ). The algae use up oxygen in the water so that other aquatic organisms cannot survive. This has occurred over large areas of the ocean, creating dead zones , where low oxygen levels have killed all ocean life. A very large dead zone exists in the Gulf of Mexico. Measures that can help prevent these problems include cutting down on fertilizer use. Preserving wetlands also helps because wetlands filter runoff water.	algae	What do fertilizers cause to grow in large numbers in water?	bacteria	fungi	bacteria		3	3	3
28	no_answer	Water pollution comes from many sources. One of the biggest sources is runoff. Runoff picks up chemicals such as fertilizer from agricultural fields, lawns, and golf courses. It carries the chemicals to bodies of water. The added nutrients from fertilizer often cause excessive growth of algae, creating algal blooms (see Figure below ). The algae use up oxygen in the water so that other aquatic organisms cannot survive. This has occurred over large areas of the ocean, creating dead zones , where low oxygen levels have killed all ocean life. A very large dead zone exists in the Gulf of Mexico. Measures that can help prevent these problems include cutting down on fertilizer use. Preserving wetlands also helps because wetlands filter runoff water.	runoff	What is the biggest source of water pollution?	erosion	sewage	sediment		3	3	3
29	ground_truth	Hydrocarbons are made of carbon and hydrogen atoms. This molecule with one carbon and four hydrogen atoms is methane.	methane	What is the name of the molecule which has one carbon and four hydrogen atoms?	carbohydrate	sulfur	carbon monoxide				
29	answer_given	Hydrocarbons are made of carbon and hydrogen atoms. This molecule with one carbon and four hydrogen atoms is methane.	methane	What is the name of the molecule with one carbon and four hydrogen atoms?	carbon	hydrogen	oxygen		3	3	2
29	no_answer	Hydrocarbons are made of carbon and hydrogen atoms. This molecule with one carbon and four hydrogen atoms is methane.	carbon and hydrogen	What atoms make up hydrocarbons?	carbon and helium	helium and hydrogen	helium and oxygen		3	3	3
30	ground_truth	Population size is the number of individuals in a population.	individuals	Population size is the number of what in a population?	humans	subdivisions	proteins				
30	answer_given	Population size is the number of individuals in a population.	individuals	Population size is the number of what in a population?	organisms	cells	molecules		3	3	3
30	no_answer	Population size is the number of individuals in a population.	population size	What is the number of individuals in a population called?	population density	population growth	population density		3	3	1
31	ground_truth	A concave lens is thicker at the edges than it is in the middle. This causes rays of light to diverge. The light forms a virtual image that is right-side up and smaller than the object.	concave lens	What type of lens is thicker at the edges than it is in the middle?	convex lens	surface lens	glass lens				
31	answer_given	A concave lens is thicker at the edges than it is in the middle. This causes rays of light to diverge. The light forms a virtual image that is right-side up and smaller than the object.	concave lens	What type of lens is thicker at the edges than it is in the middle?	convex lens	flat lens	convex lens		3	3	1
31	no_answer	A concave lens is thicker at the edges than it is in the middle. This causes rays of light to diverge. The light forms a virtual image that is right-side up and smaller than the object.	diverges	A concave lens is thicker at the edges than it is in the middle. this causes rays of light to do what?	converges	diffuses	diffraction		3	3	3
32	ground_truth	After each mass extinction, new species develop to fill the habitats where old species lived. This is well documented in the fossil record.	fossil record	What record provides evidence that new species develop to fill the habitats where old species lived following a mass extinction?	fossil fuels	erosion record	climate record				
32	answer_given	After each mass extinction, new species develop to fill the habitats where old species lived. This is well documented in the fossil record.	fossil record	What is used to document the development of new species after mass extinctions?	fossil fuel	fossil fuel	fossil fuel		3	3	1
32	no_answer	After each mass extinction, new species develop to fill the habitats where old species lived. This is well documented in the fossil record.	mass extinction	New species develop to fill the habitats where old species lived after what?	mass migration	mass mutation	mass migration		2	2	3
33	ground_truth	Visible light consists of a very narrow range of wavelengths that falls between infrared light and ultraviolet light. It is the only light that people can see. Different wavelengths of visible light appear as different colors.	visible light	What is the only light that people can see?	spectrum light	infrared light	UV light				
33	answer_given	Visible light consists of a very narrow range of wavelengths that falls between infrared light and ultraviolet light. It is the only light that people can see. Different wavelengths of visible light appear as different colors.	visible light	What type of light consists of a very narrow range of wavelengths that falls between infrared light and ultraviolet light?	infrared light	ultraviolet light	visible radiation		3	3	3
33	no_answer	Visible light consists of a very narrow range of wavelengths that falls between infrared light and ultraviolet light. It is the only light that people can see. Different wavelengths of visible light appear as different colors.	visible light	What type of light consists of a very narrow range of wavelengths that falls between infrared light and ultraviolet light?	infrared light	ultraviolet light	visible radiation		3	3	3
34	ground_truth	Did you know that fish, amphibians, reptiles, birds, and mammals are all related? They are all chordates. Chordates are a group of animals that includes vertebrates, as well as several closely related invertebrates. Chordates (phylum Chordata ) are named after a feature they all share, a notochord. A notochord is a hollow nerve cord along the back.	notochord	What anatomical feature is shared by all chordates?	isochord	botachord	laxchord				
34	answer_given	Did you know that fish, amphibians, reptiles, birds, and mammals are all related? They are all chordates. Chordates are a group of animals that includes vertebrates, as well as several closely related invertebrates. Chordates (phylum Chordata ) are named after a feature they all share, a notochord. A notochord is a hollow nerve cord along the back.	notochord	What is the name of the hollow nerve cord along the back of chordates?	sporozoans	sporozoan	sporozoans		3	3	1
34	no_answer	Did you know that fish, amphibians, reptiles, birds, and mammals are all related? They are all chordates. Chordates are a group of animals that includes vertebrates, as well as several closely related invertebrates. Chordates (phylum Chordata ) are named after a feature they all share, a notochord. A notochord is a hollow nerve cord along the back.	chordates	What is the name of the group of animals that includes vertebrates, as well as several closely related invertebrates?	vertebrates	mammals	invertebrates		3	3	3
35	ground_truth	Extrusive igneous rocks cool at the surface. Volcanoes are one type of feature that forms from extrusive rocks. Several other interesting landforms are also extrusive features. Intrusive igneous rocks cool below the surface. These rocks do not always remain hidden. Rocks that formed in the crust are exposed when the rock and sediment that covers them is eroded away.	surface	Where do extrusive igneous rocks cool at?	underground	in volcanoes	in water				
35	answer_given	Extrusive igneous rocks cool at the surface. Volcanoes are one type of feature that forms from extrusive rocks. Several other interesting landforms are also extrusive features. Intrusive igneous rocks cool below the surface. These rocks do not always remain hidden. Rocks that formed in the crust are exposed when the rock and sediment that covers them is eroded away.	surface	Extrusive igneous rocks cool where?	underground	in the air	in the water		3	2	3
35	no_answer	Extrusive igneous rocks cool at the surface. Volcanoes are one type of feature that forms from extrusive rocks. Several other interesting landforms are also extrusive features. Intrusive igneous rocks cool below the surface. These rocks do not always remain hidden. Rocks that formed in the crust are exposed when the rock and sediment that covers them is eroded away.	extrusive	What type of igneous rocks cool at the surface?	granite	basalt	metamorphic		3	3	3
36	ground_truth	Most of the species that have lived have also gone extinct. There are two ways to go extinct. The most obvious way is to die out completely. The other way a species goes extinct is if it evolves into a different species. Extinction is a normal part of Earth's history. Most of the organisms that have lived have gone extinct.	two	How many ways are there for a species to go extinct?	four	eight	Ten				
36	answer_given	Most of the species that have lived have also gone extinct. There are two ways to go extinct. The most obvious way is to die out completely. The other way a species goes extinct is if it evolves into a different species. Extinction is a normal part of Earth's history. Most of the organisms that have lived have gone extinct.	two	How many ways can a species go extinct?	four	three	one		3	3	3
36	no_answer	Most of the species that have lived have also gone extinct. There are two ways to go extinct. The most obvious way is to die out completely. The other way a species goes extinct is if it evolves into a different species. Extinction is a normal part of Earth's history. Most of the organisms that have lived have gone extinct.	extinction	What is the term for when a species goes extinct?	mutation	evolution	speciation		3	3	3
37	ground_truth	The percent yield is determined by calculating the ratio of actual yield/theoretical yield.	theoretical yield	The percent yield is determined by calculating the ratio of actual yield by what?	past balance	predicted return	actual loss				
37	answer_given	The percent yield is determined by calculating the ratio of actual yield/theoretical yield.	theoretical yield	The percent yield is determined by calculating the ratio of actual yield/what?	theoretical mass	theoretical weight	theoretical volume		3	3	3
37	no_answer	The percent yield is determined by calculating the ratio of actual yield/theoretical yield.	theoretical yield	The percent yield is determined by calculating the ratio of actual yield/what?	theoretical mass	theoretical weight	theoretical volume		3	3	3
38	ground_truth	A neon light produces visible light by electroluminescence. The bulb is a glass tube that contains the noble gas neon. When electricity passes through the gas, it excites electrons of neon atoms, causing them to give off visible light. Neon produces red light. Other noble gases are also used in lights, and they produce light of different colors. For example, krypton produces violet light, and argon produces blue light.	electroluminescence	How does a neon light produce visible light?	luminescence	radiation	mitosis				
38	answer_given	A neon light produces visible light by electroluminescence. The bulb is a glass tube that contains the noble gas neon. When electricity passes through the gas, it excites electrons of neon atoms, causing them to give off visible light. Neon produces red light. Other noble gases are also used in lights, and they produce light of different colors. For example, krypton produces violet light, and argon produces blue light.	electroluminescence	What is the process by which neon light produces visible light?	fluorescence	electromagnetism	photolysis		3	3	3
38	no_answer	A neon light produces visible light by electroluminescence. The bulb is a glass tube that contains the noble gas neon. When electricity passes through the gas, it excites electrons of neon atoms, causing them to give off visible light. Neon produces red light. Other noble gases are also used in lights, and they produce light of different colors. For example, krypton produces violet light, and argon produces blue light.	neon light	What type of light produces visible light by electroluminescence?	fluorescent light	incandescent light	halogen light		3	3	3
39	ground_truth	Two plates may slide past each other in opposite directions. This is called a transform plate boundary . The plates meet at a transform fault . As you might imagine, plates do not slide past each other easily. These plate boundaries experience massive earthquakes. The world’s best known transform fault is the San Andreas Fault in California ( Figure below ). At this fault, the Pacific and North American plates grind past each other. Transform plate boundaries are common as offsets along mid-ocean ridges. They are very small compared to transform faults on land.	transform plate boundary	What is it called when two plates slide past each other in opposite directions?	plate divergence	transformation	tectonic movement				
39	answer_given	Two plates may slide past each other in opposite directions. This is called a transform plate boundary . The plates meet at a transform fault . As you might imagine, plates do not slide past each other easily. These plate boundaries experience massive earthquakes. The world’s best known transform fault is the San Andreas Fault in California ( Figure below ). At this fault, the Pacific and North American plates grind past each other. Transform plate boundaries are common as offsets along mid-ocean ridges. They are very small compared to transform faults on land.	transform plate boundary	What is the term for a plate boundary where two plates slide past each other in opposite directions?	transform plate effect	transform plate effect	transform plate effect		3	3	1
39	no_answer	Two plates may slide past each other in opposite directions. This is called a transform plate boundary . The plates meet at a transform fault . As you might imagine, plates do not slide past each other easily. These plate boundaries experience massive earthquakes. The world’s best known transform fault is the San Andreas Fault in California ( Figure below ). At this fault, the Pacific and North American plates grind past each other. Transform plate boundaries are common as offsets along mid-ocean ridges. They are very small compared to transform faults on land.	transform plate boundary	What is the term for a plate boundary where two plates slide past each other in opposite directions?	transform plate effect	transform plate effect	transform plate effect		3	3	1
40	ground_truth	Petals are usually the most visible parts of a flower. They may be large and showy and are often brightly colored. Leaf-like green sepals protect the flower while it is still a bud.	petals	What is usually the most visible part of the flower?	cells	seeds	roots				
40	answer_given	Petals are usually the most visible parts of a flower. They may be large and showy and are often brightly colored. Leaf-like green sepals protect the flower while it is still a bud.	petals	What are usually the most visible parts of a flower?	leaves	stems	spores		3	3	3
40	no_answer	Petals are usually the most visible parts of a flower. They may be large and showy and are often brightly colored. Leaf-like green sepals protect the flower while it is still a bud.	petals	What are usually the most visible parts of a flower?	leaves	stems	spores		3	3	3
42	ground_truth	There are many other examples of innate behaviors. For example, did you know that honeybees dance? The honeybee pictured below has found a source of food ( Figure below ). When the bee returns to its hive, it will do a dance. This dance is called the waggle dance . The way the bee moves during its dance tells other bees in the hive where to find the food. Honeybees can do the waggle dance without learning it from other bees, so it is an innate behavior.	food	A bee will sometimes do a dance to tell other bees in the hive where to find what?	enemies	water	honey				
42	answer_given	There are many other examples of innate behaviors. For example, did you know that honeybees dance? The honeybee pictured below has found a source of food ( Figure below ). When the bee returns to its hive, it will do a dance. This dance is called the waggle dance . The way the bee moves during its dance tells other bees in the hive where to find the food. Honeybees can do the waggle dance without learning it from other bees, so it is an innate behavior.	food	What do honeybees dance about?	weather	water	bees		3	3	3
42	no_answer	There are many other examples of innate behaviors. For example, did you know that honeybees dance? The honeybee pictured below has found a source of food ( Figure below ). When the bee returns to its hive, it will do a dance. This dance is called the waggle dance . The way the bee moves during its dance tells other bees in the hive where to find the food. Honeybees can do the waggle dance without learning it from other bees, so it is an innate behavior.	waggle dance	What is the name of the dance that honeybees do to tell other bees where to find food?	dance of death	dance of the bees	dance of the hive		3	3	3
43	ground_truth	Skeletal muscles are attached to the skeleton by tough connective tissues called tendons (see Figure above ). Many skeletal muscles are attached to the ends of bones that meet at a joint . The muscles span the joint and connect the bones. When the muscles contract, they pull on the bones, causing them to move.	tendons	Skeletal muscles are attached to the skeleton by tough connective tissues called what?	fibers	veins	cords				
43	answer_given	Skeletal muscles are attached to the skeleton by tough connective tissues called tendons (see Figure above ). Many skeletal muscles are attached to the ends of bones that meet at a joint . The muscles span the joint and connect the bones. When the muscles contract, they pull on the bones, causing them to move.	tendons	What are the tough connective tissues that attach skeletal muscles to the skeleton called?	ligaments	cartilage	collagen		3	3	3
43	no_answer	Skeletal muscles are attached to the skeleton by tough connective tissues called tendons (see Figure above ). Many skeletal muscles are attached to the ends of bones that meet at a joint . The muscles span the joint and connect the bones. When the muscles contract, they pull on the bones, causing them to move.	tendons	What are the tough connective tissues that attach skeletal muscles to the skeleton called?	ligaments	cartilage	collagen		3	3	3
44	ground_truth	Metarterioles and Capillary Beds A metarteriole is a type of vessel that has structural characteristics of both an arteriole and a capillary. Slightly larger than the typical capillary, the smooth muscle of the tunica media of the metarteriole is not continuous but forms rings of smooth muscle (sphincters) prior to the entrance to the capillaries. Each metarteriole arises from a terminal arteriole and branches to supply blood to a capillary bed that may consist of 10–100 capillaries. The precapillary sphincters, circular smooth muscle cells that surround the capillary at its origin with the metarteriole, tightly regulate the flow of blood from a metarteriole to the capillaries it supplies. Their function is critical: If all of the capillary beds in the body were to open simultaneously, they would collectively hold every drop of blood in the body and there would be none in the arteries, arterioles, venules, veins, or the heart itself. Normally, the precapillary sphincters are closed. When the surrounding tissues need oxygen and have excess waste products, the precapillary sphincters open, allowing blood to flow through and exchange to occur before closing once more (Figure 20.6). If all of the precapillary sphincters in a capillary bed are closed, blood will flow from the metarteriole directly into a thoroughfare channel and then into the venous circulation, bypassing the capillary bed entirely. This creates what is known as a vascular shunt. In addition, an arteriovenous anastomosis may bypass the capillary bed and lead directly to the venous system. Although you might expect blood flow through a capillary bed to be smooth, in reality, it moves with an irregular, pulsating flow. This pattern is called vasomotion and is regulated by chemical signals that are triggered in response to changes in.	capillary	A metarteriole is a type of vessel that has structural characteristics of both an arteriole and this?	tendon	electron	layer				
44	answer_given	Metarterioles and Capillary Beds A metarteriole is a type of vessel that has structural characteristics of both an arteriole and a capillary. Slightly larger than the typical capillary, the smooth muscle of the tunica media of the metarteriole is not continuous but forms rings of smooth muscle (sphincters) prior to the entrance to the capillaries. Each metarteriole arises from a terminal arteriole and branches to supply blood to a capillary bed that may consist of 10–100 capillaries. The precapillary sphincters, circular smooth muscle cells that surround the capillary at its origin with the metarteriole, tightly regulate the flow of blood from a metarteriole to the capillaries it supplies. Their function is critical: If all of the capillary beds in the body were to open simultaneously, they would collectively hold every drop of blood in the body and there would be none in the arteries, arterioles, venules, veins, or the heart itself. Normally, the precapillary sphincters are closed. When the surrounding tissues need oxygen and have excess waste products, the precapillary sphincters open, allowing blood to flow through and exchange to occur before closing once more (Figure 20.6). If all of the precapillary sphincters in a capillary bed are closed, blood will flow from the metarteriole directly into a thoroughfare channel and then into the venous circulation, bypassing the capillary bed entirely. This creates what is known as a vascular shunt. In addition, an arteriovenous anastomosis may bypass the capillary bed and lead directly to the venous system. Although you might expect blood flow through a capillary bed to be smooth, in reality, it moves with an irregular, pulsating flow. This pattern is called vasomotion and is regulated by chemical signals that are triggered in response to changes in.	capillary	A metarteriole is a type of vessel that has structural characteristics of both an arteriole and a what?	vein	arterial	lymphatic		3	3	3
44	no_answer	Metarterioles and Capillary Beds A metarteriole is a type of vessel that has structural characteristics of both an arteriole and a capillary. Slightly larger than the typical capillary, the smooth muscle of the tunica media of the metarteriole is not continuous but forms rings of smooth muscle (sphincters) prior to the entrance to the capillaries. Each metarteriole arises from a terminal arteriole and branches to supply blood to a capillary bed that may consist of 10–100 capillaries. The precapillary sphincters, circular smooth muscle cells that surround the capillary at its origin with the metarteriole, tightly regulate the flow of blood from a metarteriole to the capillaries it supplies. Their function is critical: If all of the capillary beds in the body were to open simultaneously, they would collectively hold every drop of blood in the body and there would be none in the arteries, arterioles, venules, veins, or the heart itself. Normally, the precapillary sphincters are closed. When the surrounding tissues need oxygen and have excess waste products, the precapillary sphincters open, allowing blood to flow through and exchange to occur before closing once more (Figure 20.6). If all of the precapillary sphincters in a capillary bed are closed, blood will flow from the metarteriole directly into a thoroughfare channel and then into the venous circulation, bypassing the capillary bed entirely. This creates what is known as a vascular shunt. In addition, an arteriovenous anastomosis may bypass the capillary bed and lead directly to the venous system. Although you might expect blood flow through a capillary bed to be smooth, in reality, it moves with an irregular, pulsating flow. This pattern is called vasomotion and is regulated by chemical signals that are triggered in response to changes in.	capillaries	Metarterioles and capillary beds are structural characteristics of both an arteriole and what?	veins	arteries	muscles		3	3	3
45	ground_truth	Birds have a relatively large, four-chambered heart. The heart beats rapidly to keep oxygenated blood flowing to muscles and other tissues. Hummingbirds have the fastest heart rate at up to 1,200 times per minute. That’s almost 20 times faster than the human resting heart rate!.	4	How many chambers are there in a bird's heart?	1	3	5				
45	answer_given	Birds have a relatively large, four-chambered heart. The heart beats rapidly to keep oxygenated blood flowing to muscles and other tissues. Hummingbirds have the fastest heart rate at up to 1,200 times per minute. That’s almost 20 times faster than the human resting heart rate!.	4	How many chambers does a bird's heart have?	3	5	2		3	3	3
45	no_answer	Birds have a relatively large, four-chambered heart. The heart beats rapidly to keep oxygenated blood flowing to muscles and other tissues. Hummingbirds have the fastest heart rate at up to 1,200 times per minute. That’s almost 20 times faster than the human resting heart rate!.	four	How many chambers does a bird's heart have?	five	six	three		3	3	3
46	ground_truth	Humans have literally walked into some new bacterial diseases. When people come into contact with wild populations, they may become part of natural cycles of disease transmission. Consider Lyme disease. It’s caused by bacteria that normally infect small, wild mammals, such as mice. A tick bites a mouse and picks up the bacteria. The tick may then bite a human who invades the natural habitat. Through the bite, the bacteria are transmitted to the human host.	bacteria	Lyme disease is caused by what kind of organim?	Virus	bacterium	algae				
46	answer_given	Humans have literally walked into some new bacterial diseases. When people come into contact with wild populations, they may become part of natural cycles of disease transmission. Consider Lyme disease. It’s caused by bacteria that normally infect small, wild mammals, such as mice. A tick bites a mouse and picks up the bacteria. The tick may then bite a human who invades the natural habitat. Through the bite, the bacteria are transmitted to the human host.	bacteria	Lyme disease is caused by what type of disease-causing organism?	virus	parasite	fungus		3	3	3
46	no_answer	Humans have literally walked into some new bacterial diseases. When people come into contact with wild populations, they may become part of natural cycles of disease transmission. Consider Lyme disease. It’s caused by bacteria that normally infect small, wild mammals, such as mice. A tick bites a mouse and picks up the bacteria. The tick may then bite a human who invades the natural habitat. Through the bite, the bacteria are transmitted to the human host.	bacteria	Lyme disease is caused by what type of disease-causing organism?	virus	parasite	fungus		3	3	3
47	ground_truth	Recombinant DNA technology is used in gene cloning. A clone is an exact genetic copy. Genes are cloned for many reasons, including use in medicine and in agriculture.	clone	What is the term for an exact genetic copy?	genetic recreation	duplication	genetic repeat				
47	answer_given	Recombinant DNA technology is used in gene cloning. A clone is an exact genetic copy. Genes are cloned for many reasons, including use in medicine and in agriculture.	clone	What is an exact genetic copy?	clone	duplicate	replica		3	3	1
47	no_answer	Recombinant DNA technology is used in gene cloning. A clone is an exact genetic copy. Genes are cloned for many reasons, including use in medicine and in agriculture.	gene cloning	What is recombinant dna technology used in?	gene sequencing	gene mutation	gene mutation		2	3	1
48	ground_truth	Atmospheric pressure decreases as the altitude increases.	decreases	Does atmospheric pressure increase or decrease as the altitude increases?	increase	stays the same	depends on other factors				
48	answer_given	Atmospheric pressure decreases as the altitude increases.	decreases	What happens to atmospheric pressure as altitude increases?	increases	stays the same	rises		3	3	2
48	no_answer	Atmospheric pressure decreases as the altitude increases.	altitude	Atmospheric pressure decreases as what increases?	latitude	temperature	density		3	3	3
49	ground_truth	Pedalfer is the soil common in deciduous forests. Pedalfer is dark brown and fertile.	pedalfer	What soil is common in deciduous forests?	sandy soil	xerophyte	loam				
49	answer_given	Pedalfer is the soil common in deciduous forests. Pedalfer is dark brown and fertile.	pedalfer	What is the soil common in deciduous forests?	peat	humus	loam		3	3	3
49	no_answer	Pedalfer is the soil common in deciduous forests. Pedalfer is dark brown and fertile.	pedalfer	What is the soil common in deciduous forests?	peat	humus	loam		3	3	3
50	ground_truth	Ionic compounds form crystals instead of molecules. Ionic bonds are strong and the crystals are rigid. As a result, ionic compounds are brittle solids with high melting and boiling points. In the liquid state or dissolved in water, ionic compounds are good conductors of electricity.	ionic compounds	What compounds form crystals instead of molecules?	metallic compounds	soluble compounds	magnetic compounds				
50	answer_given	Ionic compounds form crystals instead of molecules. Ionic bonds are strong and the crystals are rigid. As a result, ionic compounds are brittle solids with high melting and boiling points. In the liquid state or dissolved in water, ionic compounds are good conductors of electricity.	ionic compounds	What form crystals instead of molecules?	magnetic compounds	liquid compounds	atomic compounds		3	3	3
50	no_answer	Ionic compounds form crystals instead of molecules. Ionic bonds are strong and the crystals are rigid. As a result, ionic compounds are brittle solids with high melting and boiling points. In the liquid state or dissolved in water, ionic compounds are good conductors of electricity.	ionic	What type of bonds form crystals instead of molecules?	magnetic	covalent	metallic		3	3	3
51	ground_truth	The study of biology is the study of life. Concept Biology Advanced is the CK-12 Foundation's most extensive material describing the study of life. Concept Biology Advanced presents biology as a set of 18 concepts, with each concept centered around a specific category, such as cell biology or plants. Each concept is comprised of a series of lessons, with each lesson focusing on one specific topic. The complete Concept Biology Advanced is comprised of over 550 lessons. This material has been developed to complement the most advanced secondary-level biology course.	biology	What is the official name for the study of life?	chemistry	geology	botany				
51	answer_given	The study of biology is the study of life. Concept Biology Advanced is the CK-12 Foundation's most extensive material describing the study of life. Concept Biology Advanced presents biology as a set of 18 concepts, with each concept centered around a specific category, such as cell biology or plants. Each concept is comprised of a series of lessons, with each lesson focusing on one specific topic. The complete Concept Biology Advanced is comprised of over 550 lessons. This material has been developed to complement the most advanced secondary-level biology course.	biology	What is the study of life called?	ecology	zoology	geology		3	3	3
51	no_answer	The study of biology is the study of life. Concept Biology Advanced is the CK-12 Foundation's most extensive material describing the study of life. Concept Biology Advanced presents biology as a set of 18 concepts, with each concept centered around a specific category, such as cell biology or plants. Each concept is comprised of a series of lessons, with each lesson focusing on one specific topic. The complete Concept Biology Advanced is comprised of over 550 lessons. This material has been developed to complement the most advanced secondary-level biology course.	biology	What is the study of life called?	ecology	zoology	geology		3	3	3
53	ground_truth	Primary Motor Cortex The primary motor cortex is located in the precentral gyrus of the frontal lobe. A neurosurgeon, Walter Penfield, described much of the basic understanding of the primary motor cortex by electrically stimulating the surface of the cerebrum. Penfield would probe the surface of the cortex while the patient was only under local anesthesia so that he could observe responses to the stimulation. This led to the belief that the precentral gyrus directly stimulated muscle movement. We now know that the primary motor cortex receives input from several areas that aid in planning movement, and its principle output stimulates spinal cord neurons to stimulate skeletal muscle contraction. The primary motor cortex is arranged in a similar fashion to the primary somatosensory cortex, in that it has a topographical map of the body, creating a motor homunculus (see Figure 14.23). The neurons responsible for musculature in the feet and lower legs are in the medial wall of the precentral gyrus, with the thighs, trunk, and shoulder at the crest of the longitudinal fissure. The hand and face are in the lateral face of the gyrus. Also, the relative space allotted for the different regions is exaggerated in muscles that have greater enervation. The greatest amount of cortical space is given to muscles that perform fine, agile movements, such as the muscles of the fingers and the lower face. The “power muscles” that perform coarser movements, such as the buttock and back muscles, occupy much less space on the motor cortex.	frontal	The primary motor cortex is located in which lobe of the brain?	Parietal	Temporal lobe	Occipital				
53	answer_given	Primary Motor Cortex The primary motor cortex is located in the precentral gyrus of the frontal lobe. A neurosurgeon, Walter Penfield, described much of the basic understanding of the primary motor cortex by electrically stimulating the surface of the cerebrum. Penfield would probe the surface of the cortex while the patient was only under local anesthesia so that he could observe responses to the stimulation. This led to the belief that the precentral gyrus directly stimulated muscle movement. We now know that the primary motor cortex receives input from several areas that aid in planning movement, and its principle output stimulates spinal cord neurons to stimulate skeletal muscle contraction. The primary motor cortex is arranged in a similar fashion to the primary somatosensory cortex, in that it has a topographical map of the body, creating a motor homunculus (see Figure 14.23). The neurons responsible for musculature in the feet and lower legs are in the medial wall of the precentral gyrus, with the thighs, trunk, and shoulder at the crest of the longitudinal fissure. The hand and face are in the lateral face of the gyrus. Also, the relative space allotted for the different regions is exaggerated in muscles that have greater enervation. The greatest amount of cortical space is given to muscles that perform fine, agile movements, such as the muscles of the fingers and the lower face. The “power muscles” that perform coarser movements, such as the buttock and back muscles, occupy much less space on the motor cortex.	frontal	The primary motor cortex is located in the precentral gyrus of what lobe?	temporal	occipital	parietal		3	3	3
53	no_answer	Primary Motor Cortex The primary motor cortex is located in the precentral gyrus of the frontal lobe. A neurosurgeon, Walter Penfield, described much of the basic understanding of the primary motor cortex by electrically stimulating the surface of the cerebrum. Penfield would probe the surface of the cortex while the patient was only under local anesthesia so that he could observe responses to the stimulation. This led to the belief that the precentral gyrus directly stimulated muscle movement. We now know that the primary motor cortex receives input from several areas that aid in planning movement, and its principle output stimulates spinal cord neurons to stimulate skeletal muscle contraction. The primary motor cortex is arranged in a similar fashion to the primary somatosensory cortex, in that it has a topographical map of the body, creating a motor homunculus (see Figure 14.23). The neurons responsible for musculature in the feet and lower legs are in the medial wall of the precentral gyrus, with the thighs, trunk, and shoulder at the crest of the longitudinal fissure. The hand and face are in the lateral face of the gyrus. Also, the relative space allotted for the different regions is exaggerated in muscles that have greater enervation. The greatest amount of cortical space is given to muscles that perform fine, agile movements, such as the muscles of the fingers and the lower face. The “power muscles” that perform coarser movements, such as the buttock and back muscles, occupy much less space on the motor cortex.	primary motor cortex	What is the name of the primary motor cortex?	primary sensory cortex	primary motor neuron	primary sensory neuron		3	3	3
54	ground_truth	Acidity is an important factor for living things. For example, many plants grow best in soil that has a pH between 6 and 7. Fish may also need a pH between 6 and 7. Certain air pollutants form acids when dissolved in water droplets in the air. This results in acid fog and acid rain, which may have a pH of 4 or even lower. The pH chart in the Figure above and the Figure below reveal some of the adverse effects of acid fog and rain. Acid rain not only kills trees. It also lowers the pH of surface waters such as ponds and lakes. As a result, the water may become too acidic for fish and other water organisms to survive.	acid	Certain air pollutants form which liquid when dissolved in water droplets in the air?	water	base	citrus				
