id	case	support	answer	question	distractor1	distractor2	distractor3
260	ground_truth	Mitochondria, shown here as the green ovals in this animal cell, are membranous organelles which sequence enzyme and electron carrier molecules to make cellular respiration highly efficient. Mitochondria have both an inner and outer membrane, with a matrix inside the inner membrane. The inner membrane has many internal folds, increasing the surface area for proteins and molecules involved in cellular respiration.	mitochondria	Which membranous organelles in a cell sequence enzyme and electron molecules for efficient cellular respiration?	glucose	protons	bacterial
260	answer_given	Mitochondria, shown here as the green ovals in this animal cell, are membranous organelles which sequence enzyme and electron carrier molecules to make cellular respiration highly efficient. Mitochondria have both an inner and outer membrane, with a matrix inside the inner membrane. The inner membrane has many internal folds, increasing the surface area for proteins and molecules involved in cellular respiration.	mitochondria	What are the membranous organelles which sequence enzyme and electron carrier molecules to make cellular respiration highly efficient?	chloroplasts	ribosomes	golgi apparatus
262	ground_truth	A solution forms when one substance dissolves in another. The substance that dissolves is called the solute. The substance that dissolves it is called the solvent.	a solution	What forms when one substances dissolves in another?	a transition	concentrate	complex
262	answer_given	A solution forms when one substance dissolves in another. The substance that dissolves is called the solute. The substance that dissolves it is called the solvent.	a solution	What forms when one substance dissolves in another?	a mixture	a reaction	a compound
263	ground_truth	Flowering plants are thought to have evolved at least 200 million years ago from gymnosperms like Gnetae. The earliest known fossils of flowering plants are about 125 million years old. The fossil flowers have male and female reproductive organs but no petals or sepals.	flowering plants	What are thought to have evolved at least 200 million years ago from gymnosperms like gnetae?	yeasts	cone-bearing plants	deciduous trees
263	answer_given	Flowering plants are thought to have evolved at least 200 million years ago from gymnosperms like Gnetae. The earliest known fossils of flowering plants are about 125 million years old. The fossil flowers have male and female reproductive organs but no petals or sepals.	flowering plants	What type of plants are thought to have evolved at least 200 million years ago from gymnosperms like gneta?	flowering seeds	flowering trees	flowering roots
264	ground_truth	mutation. The chemical and/or physical agents that cause mutations are called mutagens. Diseases that occur due to mutations in critical DNA sequences are referred to as genetic diseases. Viruses are infectious agents composed of a tightly packed central core of nucleic acids enclosed by a protective shell of proteins. Viruses contain either DNA or RNA as their genetic material but not both. Some RNA viruses, calledretroviruses, synthesize DNA in the host cell from their RNA genome. The human immunodeficiency virus (HIV) causes acquired immunodeficiency syndrome (AIDS).	mutagens	The chemical and/or physical agents that cause mutations are called what?	dioxins	organelles	genes
264	answer_given	mutation. The chemical and/or physical agents that cause mutations are called mutagens. Diseases that occur due to mutations in critical DNA sequences are referred to as genetic diseases. Viruses are infectious agents composed of a tightly packed central core of nucleic acids enclosed by a protective shell of proteins. Viruses contain either DNA or RNA as their genetic material but not both. Some RNA viruses, calledretroviruses, synthesize DNA in the host cell from their RNA genome. The human immunodeficiency virus (HIV) causes acquired immunodeficiency syndrome (AIDS).	mutagens	What are chemical and/or physical agents that cause mutations called?	toxins	pathogens	contaminants
265	ground_truth	Friction is a force that opposes motion between two surfaces that are touching. Friction occurs because no surface is perfectly smooth. Friction is greater when objects have rougher surfaces or are heavier so they press together with greater force.	friction	What is the force that opposes motion between two surfaces that are touching?	tension	vibration	gravity
265	answer_given	Friction is a force that opposes motion between two surfaces that are touching. Friction occurs because no surface is perfectly smooth. Friction is greater when objects have rougher surfaces or are heavier so they press together with greater force.	friction	What is the force that opposes motion between two surfaces that are touching?	tension	vibration	resistance
266	ground_truth	There are three different types of muscle tissue in the human body: cardiac, smooth, and skeletal muscle tissues. All three types consist mainly of muscle fibers, but the fibers have different arrangements. You can see how each type of muscle tissue looks in Figure below .	muscle	Skeletal, cardiac, and smooth are all types of what?	Nervous	Epithelial	Connective
266	answer_given	There are three different types of muscle tissue in the human body: cardiac, smooth, and skeletal muscle tissues. All three types consist mainly of muscle fibers, but the fibers have different arrangements. You can see how each type of muscle tissue looks in Figure below .	muscle	Cardiac, smooth, and skeletal are the three types of what tissue in the human body?	skin	bone	liver
267	ground_truth	Most wave media act like a series of connected oscillators. For instance, a rope can be thought of as a large number of masses (molecules) connected by springs (intermolecular forces). The speed of a wave through connected harmonic oscillators depends on the distance between them, the spring constant, and the mass. In this way, we can model wave media using the principles of simple harmonic motion.	mass	The speed of a wave through connected harmonic oscillators depends on the distance between them, the spring constant, and the what?	density	concentrations	temperature
267	answer_given	Most wave media act like a series of connected oscillators. For instance, a rope can be thought of as a large number of masses (molecules) connected by springs (intermolecular forces). The speed of a wave through connected harmonic oscillators depends on the distance between them, the spring constant, and the mass. In this way, we can model wave media using the principles of simple harmonic motion.	mass	The speed of a wave through connected harmonic oscillators depends on the distance between them, the spring constant, and what else?	volume	weight	density
268	ground_truth	Inheritance is more complex for traits in which there is codominance or incomplete dominance. Traits may also be controlled by multiple alleles or multiple genes. Many traits are influenced by the environment as well.	genes	Traits may also be controlled by multiple alleles or multiple what?	chromosomes	lesions	eggs
268	answer_given	Inheritance is more complex for traits in which there is codominance or incomplete dominance. Traits may also be controlled by multiple alleles or multiple genes. Many traits are influenced by the environment as well.	genes	Traits may also be controlled by multiple alleles or multiple what?	chromosomes	proteins	cells
269	ground_truth	Water, like carbon, has a special role in living things. It is needed by all known forms of life. Water is a simple molecule, containing just three atoms. Nonetheless, water’s structure gives it unique properties that help explain why it is vital to all living organisms.	3	How many atoms does water contain?	4	6	9
269	answer_given	Water, like carbon, has a special role in living things. It is needed by all known forms of life. Water is a simple molecule, containing just three atoms. Nonetheless, water’s structure gives it unique properties that help explain why it is vital to all living organisms.	3	How many atoms does water contain?	4	5	2
270	ground_truth	Visible light consists of a very narrow range of wavelengths that falls between infrared light and ultraviolet light. It is the only light that people can see. Different wavelengths of visible light appear as different colors.	visible light	What is the only light that people can see?	spectrum light	infrared light	UV light
270	answer_given	Visible light consists of a very narrow range of wavelengths that falls between infrared light and ultraviolet light. It is the only light that people can see. Different wavelengths of visible light appear as different colors.	visible light	What type of light consists of a very narrow range of wavelengths that falls between infrared light and ultraviolet light?	infrared light	ultraviolet light	visible radiation
271	ground_truth	The Linnaean system is based on similarities in obvious physical traits. It consists of a hierarchy of taxa, from the kingdom to the species.	linnaean system	What is the name of the system that consists of a hierarchy of taxa, from the kingdom to the species?	Bohr's law	Mendelian system	zoology
271	answer_given	The Linnaean system is based on similarities in obvious physical traits. It consists of a hierarchy of taxa, from the kingdom to the species.	linnaean system	What system is based on similarities in obvious physical traits?	darwinian system	systemic system	systemic system
272	ground_truth	Eukaryotic Chromosomal Structure and Compaction If the DNA from all 46 chromosomes in a human cell nucleus was laid out end to end, it would measure approximately two meters; however, its diameter would be only 2 nm. Considering that the size of a typical human cell is about 10 µm (100,000 cells lined up to equal one meter), DNA must be tightly packaged to fit in the cell’s nucleus. At the same time, it must also be readily accessible for the genes to be expressed. During some stages of the cell cycle, the long strands of DNA are condensed into compact chromosomes. There are a number of ways that chromosomes are compacted. In the first level of compaction, short stretches of the DNA double helix wrap around a core of eight histone proteins at regular intervals along the entire length of the chromosome (Figure 10.4). The DNA-histone complex is called chromatin. The beadlike, histone DNA complex is called a nucleosome, and DNA connecting the nucleosomes is called linker DNA. A DNA molecule in this form is about seven times shorter than the double helix without the histones, and the beads are about 10 nm in diameter, in contrast with the 2-nm diameter of a DNA double helix. The next level of compaction occurs as the nucleosomes and the linker DNA between them are coiled into a 30-nm chromatin fiber. This coiling further shortens the chromosome so that it is now about 50 times shorter than the extended form. In the third level of packing, a variety of fibrous proteins is used to pack the chromatin. These fibrous proteins also ensure that each chromosome in a non-dividing cell occupies a particular area of the nucleus that does not overlap with that of any other chromosome (see the top image in Figure 10.3).	two meters	If the dna from all 46 chromosomes in a human cell nucleus was laid out end to end, it would measure approximately how long?	three meters	four meters	one meter
272	answer_given	Eukaryotic Chromosomal Structure and Compaction If the DNA from all 46 chromosomes in a human cell nucleus was laid out end to end, it would measure approximately two meters; however, its diameter would be only 2 nm. Considering that the size of a typical human cell is about 10 µm (100,000 cells lined up to equal one meter), DNA must be tightly packaged to fit in the cell’s nucleus. At the same time, it must also be readily accessible for the genes to be expressed. During some stages of the cell cycle, the long strands of DNA are condensed into compact chromosomes. There are a number of ways that chromosomes are compacted. In the first level of compaction, short stretches of the DNA double helix wrap around a core of eight histone proteins at regular intervals along the entire length of the chromosome (Figure 10.4). The DNA-histone complex is called chromatin. The beadlike, histone DNA complex is called a nucleosome, and DNA connecting the nucleosomes is called linker DNA. A DNA molecule in this form is about seven times shorter than the double helix without the histones, and the beads are about 10 nm in diameter, in contrast with the 2-nm diameter of a DNA double helix. The next level of compaction occurs as the nucleosomes and the linker DNA between them are coiled into a 30-nm chromatin fiber. This coiling further shortens the chromosome so that it is now about 50 times shorter than the extended form. In the third level of packing, a variety of fibrous proteins is used to pack the chromatin. These fibrous proteins also ensure that each chromosome in a non-dividing cell occupies a particular area of the nucleus that does not overlap with that of any other chromosome (see the top image in Figure 10.3).	two meters	If the dna from all 46 chromosomes in a human cell nucleus was laid out end to end, it would measure approximately what?	one meter	three meters	four meters
273	ground_truth	Imagine you have a cup that has 100ml water, and you add 15g of table sugar to the water. The sugar dissolves and the mixture that is now in the cup is made up of a solute (the sugar) that is dissolved in the solvent (the water). The mixture of a solute in a solvent is called a solution .	solution	What is a mixture of a solute in a solvent called?	link	structure	transition
273	answer_given	Imagine you have a cup that has 100ml water, and you add 15g of table sugar to the water. The sugar dissolves and the mixture that is now in the cup is made up of a solute (the sugar) that is dissolved in the solvent (the water). The mixture of a solute in a solvent is called a solution .	solution	What is the mixture of a solute in a solvent called?	mixture	compound	solution
274	ground_truth	All minerals have a definite chemical makeup. A few minerals are made of only one kind of element. Silver is a mineral made only of silver atoms. Diamond and graphite are both made only of the element carbon.	element	Silver is an example of a mineral containing only one kind of what?	matter	mass	chemical
274	answer_given	All minerals have a definite chemical makeup. A few minerals are made of only one kind of element. Silver is a mineral made only of silver atoms. Diamond and graphite are both made only of the element carbon.	element	All minerals have a definite chemical makeup. a few minerals are made of only one kind of what?	atom	molecule	compound
275	ground_truth	Summary 2.1 Early Ideas in Atomic Theory The ancient Greeks proposed that matter consists of extremely small particles called atoms. Dalton postulated that each element has a characteristic type of atom that differs in properties from atoms of all other elements, and that atoms of different elements can combine in fixed, small, whole-number ratios to form compounds. Samples of a particular compound all have the same elemental proportions by mass. When two elements form different compounds, a given mass of one element will combine with masses of the other element in a small, whole-number ratio. During any chemical change, atoms are neither created nor destroyed. 2.2 Evolution of Atomic Theory Although no one has actually seen the inside of an atom, experiments have demonstrated much about atomic structure. Thomson’s cathode ray tube showed that atoms contain small, negatively charged particles called electrons. Millikan discovered that there is a fundamental electric charge—the charge of an electron. Rutherford’s gold foil experiment showed that atoms have a small, dense, positively charged nucleus; the positively charged particles within the nucleus are called protons. Chadwick discovered that the nucleus also contains neutral particles called neutrons. Soddy demonstrated that atoms of the same element can differ in mass; these are called isotopes. 2.3 Atomic Structure and Symbolism An atom consists of a small, positively charged nucleus surrounded by electrons. The nucleus contains protons and neutrons; its diameter is about 100,000 times smaller than that of the atom. The mass of one atom is usually expressed in atomic mass units (amu), which is referred to as the atomic mass. An amu is defined as exactly 1 of the mass of 12 a carbon-12 atom and is equal to 1.6605 × 10−24 g. Protons are relatively heavy particles with a charge of 1+ and a mass of 1.0073 amu. Neutrons are relatively heavy particles with no charge and a mass of 1.0087 amu. Electrons are light particles with a charge of 1− and a mass of 0.00055 amu. The number of protons in the nucleus is called the atomic number (Z) and is the property that defines an atom’s elemental identity. The sum of the numbers of protons and neutrons in the nucleus is called the mass number.	atoms	What particles ancient greeks propose that matter consists of ?	ions	molecules	ether
275	answer_given	Summary 2.1 Early Ideas in Atomic Theory The ancient Greeks proposed that matter consists of extremely small particles called atoms. Dalton postulated that each element has a characteristic type of atom that differs in properties from atoms of all other elements, and that atoms of different elements can combine in fixed, small, whole-number ratios to form compounds. Samples of a particular compound all have the same elemental proportions by mass. When two elements form different compounds, a given mass of one element will combine with masses of the other element in a small, whole-number ratio. During any chemical change, atoms are neither created nor destroyed. 2.2 Evolution of Atomic Theory Although no one has actually seen the inside of an atom, experiments have demonstrated much about atomic structure. Thomson’s cathode ray tube showed that atoms contain small, negatively charged particles called electrons. Millikan discovered that there is a fundamental electric charge—the charge of an electron. Rutherford’s gold foil experiment showed that atoms have a small, dense, positively charged nucleus; the positively charged particles within the nucleus are called protons. Chadwick discovered that the nucleus also contains neutral particles called neutrons. Soddy demonstrated that atoms of the same element can differ in mass; these are called isotopes. 2.3 Atomic Structure and Symbolism An atom consists of a small, positively charged nucleus surrounded by electrons. The nucleus contains protons and neutrons; its diameter is about 100,000 times smaller than that of the atom. The mass of one atom is usually expressed in atomic mass units (amu), which is referred to as the atomic mass. An amu is defined as exactly 1 of the mass of 12 a carbon-12 atom and is equal to 1.6605 × 10−24 g. Protons are relatively heavy particles with a charge of 1+ and a mass of 1.0073 amu. Neutrons are relatively heavy particles with no charge and a mass of 1.0087 amu. Electrons are light particles with a charge of 1− and a mass of 0.00055 amu. The number of protons in the nucleus is called the atomic number (Z) and is the property that defines an atom’s elemental identity. The sum of the numbers of protons and neutrons in the nucleus is called the mass number.	atoms	The ancient greeks proposed that matter consists of extremely small particles called what?	ions	molecules	protons
276	ground_truth	As the membrane potential reaches +30 mV, other voltage-gated channels are opening in the membrane. These channels are specific for the potassium ion. A concentration gradient acts on K+, as well. As K+ starts to leave the cell, taking a positive charge with it, the membrane potential begins to move back toward its resting voltage. This is called repolarization, meaning that the membrane voltage moves back toward the -70 mV value of the resting membrane potential. Repolarization returns the membrane potential to the -70 mV value that indicates the resting potential, but it actually overshoots that value. Potassium ions reach equilibrium when the membrane voltage is below -70 mV, so a period of hyperpolarization occurs while the K+ channels are open. Those K+ channels are slightly delayed in closing, accounting for this short overshoot. What has been described here is the action potential, which is presented as a graph of voltage over time in Figure 12.23. It is the electrical signal that nervous tissue generates for communication. The change in the membrane voltage from -70 mV at rest to +30 mV at the end of depolarization is a 100-mV change. That can also be written as a 0.1-V change. To put that value in perspective, think about a battery. An AA battery that you might find in a television remote has a voltage of 1.5 V, or a 9-V battery (the rectangular battery with two posts on one end) is, obviously, 9 V. The change seen in the action potential is one or two orders of magnitude less than the charge in these batteries. In fact, the membrane potential can be described as a battery. A charge is stored across the membrane that can be released under the correct conditions. A battery in your remote has stored a charge that is “released” when you push a button.	voltage	Repolarization occurs when the membrane potential begins to move back toward its resting what?	charge	resistance	tension
277	ground_truth	Mollusks have a true coelom and complete digestive system. They also have circulatory and excretory systems. They have a heart that pumps blood, and organs that filter out wastes from the blood.	digestive system	Mollusks have a true coelom and a complete what?	skeletal system	nerve system	tissues system
277	answer_given	Mollusks have a true coelom and complete digestive system. They also have circulatory and excretory systems. They have a heart that pumps blood, and organs that filter out wastes from the blood.	digestive system	Mollusks have a true coelom and complete what system?	nervous system	reproductive system	circulatory system
278	ground_truth	The nucleus of many cells also contains an organelle called a nucleolus , shown in Figure below . The nucleolus is mainly involved in the assembly of ribosomes. Ribosomes are organelles made of protein and ribosomal RNA (rRNA), and they build cellular proteins in the cytoplasm. The function of the rRNA is to provide a way of decoding the genetic messages within another type of RNA, called mRNA for messenger RNA, into amino acids. After being made in the nucleolus, ribosomes are exported to the cytoplasm where they direct protein synthesis.	ribosomes	Which organelles, made of protein and ribosomal rna, build cellular proteins in the cytoplasm?	chloroplasts	dna	chromosomes
278	answer_given	The nucleus of many cells also contains an organelle called a nucleolus , shown in Figure below . The nucleolus is mainly involved in the assembly of ribosomes. Ribosomes are organelles made of protein and ribosomal RNA (rRNA), and they build cellular proteins in the cytoplasm. The function of the rRNA is to provide a way of decoding the genetic messages within another type of RNA, called mRNA for messenger RNA, into amino acids. After being made in the nucleolus, ribosomes are exported to the cytoplasm where they direct protein synthesis.	ribosomes	What are the organelles made of protein and ribosomal rna?	chromosomes	prokaryotes	mitochondria
279	ground_truth	Can you guess what this picture shows? The purple and blue "flames" are matter in a particular state. You’re probably familiar with the states of matter most common on Earth — solids, liquids, and gases. But these "flames" are a state of matter called plasma. This plasma ball was made by humans. Plasma also occurs in nature. In fact, plasma makes up most of the matter in the universe.	plasma	What type of matter makes up most of the universe?	carbon	liquid	gas
279	answer_given	Can you guess what this picture shows? The purple and blue "flames" are matter in a particular state. You’re probably familiar with the states of matter most common on Earth — solids, liquids, and gases. But these "flames" are a state of matter called plasma. This plasma ball was made by humans. Plasma also occurs in nature. In fact, plasma makes up most of the matter in the universe.	plasma	What is the name of the state of matter that is found in the universe?	gas	liquid	solid
280	ground_truth	Most mammals are viviparous. Their young are born live. They are born either as relatively large, well-developed fetuses or as tiny, immature embryos. Mammals that are viviparous are called therian mammals . Only a few mammals lay eggs instead of giving birth to an infant or embryo.	live birth	Most mammals are viviparous, which refers to what reproductive result?	identical twins	spawning	laying eggs
280	answer_given	Most mammals are viviparous. Their young are born live. They are born either as relatively large, well-developed fetuses or as tiny, immature embryos. Mammals that are viviparous are called therian mammals . Only a few mammals lay eggs instead of giving birth to an infant or embryo.	live birth	What type of birth do most mammals have?	spontaneous birth	natural birth	artificial birth
281	ground_truth	Proteins are polymers of amino acids, which act as the monomers.	amino	Proteins are polymers of what kind of acids?	lipids	lactic	acetic
281	answer_given	Proteins are polymers of amino acids, which act as the monomers.	amino	Proteins are polymers of what acids?	chloride	sulfuric	nitric
282	ground_truth	The study of biology is the study of life. Concept Biology Advanced is the CK-12 Foundation's most extensive material describing the study of life. Concept Biology Advanced presents biology as a set of 18 concepts, with each concept centered around a specific category, such as cell biology or plants. Each concept is comprised of a series of lessons, with each lesson focusing on one specific topic. The complete Concept Biology Advanced is comprised of over 550 lessons. This material has been developed to complement the most advanced secondary-level biology course.	biology	What is the official name for the study of life?	chemistry	geology	botany
282	answer_given	The study of biology is the study of life. Concept Biology Advanced is the CK-12 Foundation's most extensive material describing the study of life. Concept Biology Advanced presents biology as a set of 18 concepts, with each concept centered around a specific category, such as cell biology or plants. Each concept is comprised of a series of lessons, with each lesson focusing on one specific topic. The complete Concept Biology Advanced is comprised of over 550 lessons. This material has been developed to complement the most advanced secondary-level biology course.	biology	What is the study of life called?	ecology	zoology	geology
283	ground_truth	Snails are an example of invertebrates, animals without a backbone.	backbone	What does an invertebrate, like a snail, not have?	reproductive organs	eyes	a heart
283	answer_given	Snails are an example of invertebrates, animals without a backbone.	backbone	Snails are an example of invertebrates, animals without what?	tail	brain	limbs
284	ground_truth	Deinonychus is the genus name of an extinct dinosaur that is considered to be one of the closest non-bird relatives of modern birds. It lived about 110 million years ago in what is now North America. Deinonychus was a predatory carnivore with many bird-like features. For example, it had feathers and wings. It also had strong legs with clawed feet, similar to modern raptors. Its respiratory, circulatory, and digestive systems were similar to those of birds as well. The location of fossilized eggs near Deinonychus fossils suggests that it may have brooded its eggs. This would mean that it was endothermic. (Can you explain why?) On the other hand, Deinonychus retained a number of reptile-like traits, such as jaws with teeth and hands with claws at the tips of its wings.	deinonychus	What is the dinosaur genus that's closest to modern birds?	sauropods	diplodocus	Rapter
284	answer_given	Deinonychus is the genus name of an extinct dinosaur that is considered to be one of the closest non-bird relatives of modern birds. It lived about 110 million years ago in what is now North America. Deinonychus was a predatory carnivore with many bird-like features. For example, it had feathers and wings. It also had strong legs with clawed feet, similar to modern raptors. Its respiratory, circulatory, and digestive systems were similar to those of birds as well. The location of fossilized eggs near Deinonychus fossils suggests that it may have brooded its eggs. This would mean that it was endothermic. (Can you explain why?) On the other hand, Deinonychus retained a number of reptile-like traits, such as jaws with teeth and hands with claws at the tips of its wings.	deinonychus	What is the genus name of an extinct dinosaur that is considered to be one of the closest non-bird relatives of modern birds?	stegosaurus	tyrannosaurus	spinosaurus
285	ground_truth	6.4 | Prokaryotic Cell Division By the end of this section, you will be able to: • Describe the process of binary fission in prokaryotes • Explain how FtsZ and tubulin proteins are examples of homology Prokaryotes such as bacteria propagate by binary fission. For unicellular organisms, cell division is the only method to produce new individuals. In both prokaryotic and eukaryotic cells, the outcome of cell reproduction is a pair of daughter cells that are genetically identical to the parent cell. In unicellular organisms, daughter cells are individuals. To achieve the outcome of identical daughter cells, some steps are essential. The genomic DNA must be replicated and then allocated into the daughter cells; the cytoplasmic contents must also be divided to give both new cells the machinery to sustain life. In bacterial cells, the genome consists of a single, circular DNA chromosome; therefore, the process of cell division is simplified. Mitosis is unnecessary because there is no nucleus or multiple chromosomes. This type of cell division is called binary fission.	unicellular organisms	In what type of organisms are daughter cells individuals?	multicellular organisms	macroscopic organisms	hematopoietic organisms
285	answer_given	6.4 | Prokaryotic Cell Division By the end of this section, you will be able to: • Describe the process of binary fission in prokaryotes • Explain how FtsZ and tubulin proteins are examples of homology Prokaryotes such as bacteria propagate by binary fission. For unicellular organisms, cell division is the only method to produce new individuals. In both prokaryotic and eukaryotic cells, the outcome of cell reproduction is a pair of daughter cells that are genetically identical to the parent cell. In unicellular organisms, daughter cells are individuals. To achieve the outcome of identical daughter cells, some steps are essential. The genomic DNA must be replicated and then allocated into the daughter cells; the cytoplasmic contents must also be divided to give both new cells the machinery to sustain life. In bacterial cells, the genome consists of a single, circular DNA chromosome; therefore, the process of cell division is simplified. Mitosis is unnecessary because there is no nucleus or multiple chromosomes. This type of cell division is called binary fission.	unicellular organisms	In what type of organisms is cell division the only method to produce new individuals?	multicellular organisms	fungi	sponges
286	ground_truth	For a long time, scientists considered fungi to be members of the plant kingdom because they have obvious similarities with plants. Both fungi and plants are immobile, have cell walls, and grow in soil. Some fungi, such as lichens, even look like plants (see Figure below ).	fungi	What group was long considered part of the plant kingdom because of obvious similarities; both are immobile, have cell walls, and grow in soil?	mosses	coral	bacteria
286	answer_given	For a long time, scientists considered fungi to be members of the plant kingdom because they have obvious similarities with plants. Both fungi and plants are immobile, have cell walls, and grow in soil. Some fungi, such as lichens, even look like plants (see Figure below ).	fungi	What are considered to be members of the plant kingdom because they have obvious similarities with plants?	protists	algae	bacteria
287	ground_truth	An earthquake is sudden ground movement. This movement is caused by the sudden release of the energy stored in rocks. An earthquake happens when so much stress builds up in the rocks that the rocks break. An earthquake’s energy is transmitted by seismic waves. Each year, there are more than 150,000 earthquakes strong enough to be felt by people. An amazing 900,000 are recorded by seismometers.	seismic waves	What type of waves transmit the energy of an earthquake?	tectonic waves	sonic waves	volcanic waves
287	answer_given	An earthquake is sudden ground movement. This movement is caused by the sudden release of the energy stored in rocks. An earthquake happens when so much stress builds up in the rocks that the rocks break. An earthquake’s energy is transmitted by seismic waves. Each year, there are more than 150,000 earthquakes strong enough to be felt by people. An amazing 900,000 are recorded by seismometers.	seismic waves	What is the energy transmitted by an earthquake?	seismic currents	seismic winds	seismic currents
288	ground_truth	It is interesting that the widths of the resonance curves shown in Figure 16.27 depend on damping: the less the damping, the narrower the resonance. The message is that if you want a driven oscillator to resonate at a very specific frequency, you need as little damping as possible. Little damping is the case for piano strings and many other musical instruments. Conversely, if you want small-amplitude oscillations, such as in a car’s suspension system, then you want heavy damping. Heavy damping reduces the amplitude, but the tradeoff is that the system responds at more frequencies. These features of driven harmonic oscillators apply to a huge variety of systems. When you tune a radio, for example, you are adjusting its resonant frequency so that it only oscillates to the desired station’s broadcast (driving) frequency. The more selective the radio is in discriminating between stations, the smaller its damping. Magnetic resonance imaging (MRI) is a widely used medical diagnostic tool in which atomic nuclei (mostly hydrogen nuclei) are made to resonate by incoming radio waves (on the order of 100 MHz). A child on a swing is driven by a parent at the swing’s natural frequency to achieve maximum amplitude. In all of these cases, the efficiency of energy transfer from the driving force into the oscillator is best at resonance. Speed bumps and gravel roads prove that even a car’s suspension system is not immune to resonance. In spite of finely engineered shock absorbers, which ordinarily convert mechanical energy to thermal energy almost as fast as it comes in, speed bumps still cause a large-amplitude oscillation. On gravel roads that are corrugated, you may have noticed that if you travel at the “wrong” speed, the bumps are very noticeable whereas at other speeds you may hardly feel the bumps at all. Figure 16.28 shows a photograph of a famous example (the Tacoma Narrows Bridge) of the destructive effects of a driven harmonic oscillation. The Millennium Bridge in London was closed for a short period of time for the same reason while inspections were carried out. In our bodies, the chest cavity is a clear example of a system at resonance. The diaphragm and chest wall drive the oscillations of the chest cavity which result in the lungs inflating and deflating. The system is critically damped and the muscular diaphragm oscillates at the resonant value for the system, making it highly efficient.	resonance	In our bodies, the chest cavity is a clear example of a system at what?	rest	scale	default
288	answer_given	It is interesting that the widths of the resonance curves shown in Figure 16.27 depend on damping: the less the damping, the narrower the resonance. The message is that if you want a driven oscillator to resonate at a very specific frequency, you need as little damping as possible. Little damping is the case for piano strings and many other musical instruments. Conversely, if you want small-amplitude oscillations, such as in a car’s suspension system, then you want heavy damping. Heavy damping reduces the amplitude, but the tradeoff is that the system responds at more frequencies. These features of driven harmonic oscillators apply to a huge variety of systems. When you tune a radio, for example, you are adjusting its resonant frequency so that it only oscillates to the desired station’s broadcast (driving) frequency. The more selective the radio is in discriminating between stations, the smaller its damping. Magnetic resonance imaging (MRI) is a widely used medical diagnostic tool in which atomic nuclei (mostly hydrogen nuclei) are made to resonate by incoming radio waves (on the order of 100 MHz). A child on a swing is driven by a parent at the swing’s natural frequency to achieve maximum amplitude. In all of these cases, the efficiency of energy transfer from the driving force into the oscillator is best at resonance. Speed bumps and gravel roads prove that even a car’s suspension system is not immune to resonance. In spite of finely engineered shock absorbers, which ordinarily convert mechanical energy to thermal energy almost as fast as it comes in, speed bumps still cause a large-amplitude oscillation. On gravel roads that are corrugated, you may have noticed that if you travel at the “wrong” speed, the bumps are very noticeable whereas at other speeds you may hardly feel the bumps at all. Figure 16.28 shows a photograph of a famous example (the Tacoma Narrows Bridge) of the destructive effects of a driven harmonic oscillation. The Millennium Bridge in London was closed for a short period of time for the same reason while inspections were carried out. In our bodies, the chest cavity is a clear example of a system at resonance. The diaphragm and chest wall drive the oscillations of the chest cavity which result in the lungs inflating and deflating. The system is critically damped and the muscular diaphragm oscillates at the resonant value for the system, making it highly efficient.	resonance	What is the term for the efficiency of energy transfer from the driving force into the oscillator?	vibration	resonant	frequency
289	ground_truth	Prokaryotic cells grow to a certain size. Then they divide by binary fission. This is a type of asexual reproduction. It produces genetically identical offspring. Genetic transfer increases genetic variation in prokaryotes.	binary fission	How do prokaryotic cells divide?	Fusion	function fission	multiple fission
289	answer_given	Prokaryotic cells grow to a certain size. Then they divide by binary fission. This is a type of asexual reproduction. It produces genetically identical offspring. Genetic transfer increases genetic variation in prokaryotes.	binary fission	Prokaryotic cells grow to a certain size and then divide by what?	binary fusion	binary mutation	binary fusion
290	ground_truth	A metabolic pathway is a series of biochemical reactions by which an organism converts a given reactant to a specific end product. As you will learn in Section 20.5 "Stage II of Carbohydrate Catabolism" through Section 20.7 "Stage II of Protein Catabolism", there are specific metabolic pathways—which are different for carbohydrates, triglycerides, and proteins—that break down the products of stage I of catabolism (monosaccharides, fatty acids, and amino acids) to produce a common end product, acetyl-coenzyme A (acetyl-CoA) in stage II of catabolism. Acetyl-CoA is shown in Figure 20.10 "The Structure of Acetyl-Coenzyme A (AcetylCoA)". The acetyl unit, derived (as we will see) from the breakdown of carbohydrates, lipids, and proteins, is attached to coenzyme A, making the acetyl unit more reactive. Acetyl-CoA is used in a myriad of biochemical pathways. For example, it may be used as the starting material for the biosynthesis of lipids (such as triglycerides, phospholipids, or cholesterol and other steroids). Most importantly for energy generation, it may enter the citric acid cycle and be oxidized to produce energy, if energy is needed and oxygen is available. The various fates or uses of acetyl-CoA are summarized in Figure 20.11 "Cell Chemistry". Figure 20.10 The Structure of Acetyl-Coenzyme A (Acetyl-CoA).	metabolic pathway	What is the term for a series of biochemical reactions by which an organism converts a given reactant to a specific end product?	internal pathway	direct pathway	hydrogen pathway
